ids	values
9606.ENSP00000223029	0.0008861691
9606.ENSP00000273610	0.00089381955
9606.ENSP00000348888	0.00089384586
9606.ENSP00000350256	0.00089562417
9606.ENSP00000355812	0.00090762245
9606.ENSP00000358105	0.0009151194
9606.ENSP00000398880	0.0009339471
9606.ENSP00000054668	0.0009648109
9606.ENSP00000296135	0.0009728396
9606.ENSP00000290363	0.0009842186
9606.ENSP00000367832	0.0010031607
9606.ENSP00000463154	0.0010074355
9606.ENSP00000428220	0.0010310003
9606.ENSP00000399229	0.0010339447
9606.ENSP00000349732	0.0010385828
9606.ENSP00000354581	0.0010405851
9606.ENSP00000407761	0.0010425335
9606.ENSP00000359019	0.0010678673
9606.ENSP00000300589	0.001068208
9606.ENSP00000323076	0.0010727576
9606.ENSP00000296513	0.0010764818
9606.ENSP00000217121	0.0010766999
9606.ENSP00000264972	0.0010850739
9606.ENSP00000354305	0.0011010411
9606.ENSP00000217188	0.0011069769
9606.ENSP00000295030	0.0011469472
9606.ENSP00000366331	0.0011657344
9606.ENSP00000358098	0.0011762705
9606.ENSP00000311318	0.0011808352
9606.ENSP00000498888	0.0011859859
9606.ENSP00000498803	0.0011963957
9606.ENSP00000296137	0.0012031324
9606.ENSP00000368266	0.0012033
9606.ENSP00000417955	0.0012076993
9606.ENSP00000384434	0.001210304
9606.ENSP00000356058	0.0012123985
9606.ENSP00000481301	0.0012288534
9606.ENSP00000442424	0.0012465022
9606.ENSP00000440100	0.0012466962
9606.ENSP00000332513	0.0012798026
9606.ENSP00000301656	0.0012870075
9606.ENSP00000404843	0.0013097338
9606.ENSP00000328472	0.001310768
9606.ENSP00000264651	0.0013189644
9606.ENSP00000344411	0.0013246032
9606.ENSP00000480914	0.0013442035
9606.ENSP00000493269	0.0013556449
9606.ENSP00000225831	0.0013671094
9606.ENSP00000362027	0.0014017
9606.ENSP00000395929	0.0014279054
9606.ENSP00000368264	0.0014463
9606.ENSP00000369198	0.0014556
9606.ENSP00000497815	0.0015189981
