protein	pval
9606.ENSP00000292174	0.0003692586
9606.ENSP00000352565	0.00037794615
9606.ENSP00000365081	0.0003804734
9606.ENSP00000354597	0.00038399218
9606.ENSP00000260045	0.000385344
9606.ENSP00000497931	0.0003930138
9606.ENSP00000364949	0.00039543823
9606.ENSP00000252512	0.0004081544
9606.ENSP00000340913	0.00040971107
9606.ENSP00000421710	0.00041228632
9606.ENSP00000379110	0.00041824745
9606.ENSP00000371394	0.00043299366
9606.ENSP00000229729	0.0004344672
9606.ENSP00000274217	0.00043965896
9606.ENSP00000496625	0.00044022722
9606.ENSP00000364782	0.000440284
9606.ENSP00000259056	0.00045228866
9606.ENSP00000351310	0.00045434665
9606.ENSP00000364815	0.0004544117
9606.ENSP00000427684	0.00046376814
9606.ENSP00000497351	0.00046559502
9606.ENSP00000396163	0.00046606074
9606.ENSP00000356320	0.0004702265
9606.ENSP00000364677	0.0004752368
9606.ENSP00000305651	0.00048129875
9606.ENSP00000297029	0.0004828686
9606.ENSP00000366047	0.00048548594
9606.ENSP00000357709	0.00048938737
9606.ENSP00000300589	0.0005181922
9606.ENSP00000364114	0.00052031723
9606.ENSP00000351075	0.00052104745
9606.ENSP00000496129	0.0005252014
9606.ENSP00000495530	0.0005364511
9606.ENSP00000357644	0.000545683
9606.ENSP00000416741	0.0005498213
9606.ENSP00000259870	0.00055005454
9606.ENSP00000384359	0.000552328
9606.ENSP00000381206	0.00055860216
9606.ENSP00000364632	0.00056259
9606.ENSP00000371858	0.00056347484
9606.ENSP00000411898	0.00056593644
9606.ENSP00000341677	0.00057762
9606.ENSP00000364183	0.0005786104
9606.ENSP00000415090	0.00058345834
9606.ENSP00000358060	0.00058536313
9606.ENSP00000422834	0.00058725383
9606.ENSP00000364840	0.00059076224
9606.ENSP00000386376	0.00061174
9606.ENSP00000300098	0.000623426
9606.ENSP00000310620	0.00064224604
9606.ENSP00000319846	0.0006508567
9606.ENSP00000364935	0.0006517285
9606.ENSP00000365884	0.0006563945
9606.ENSP00000362888	0.00066023483
9606.ENSP00000300113	0.00068469305
9606.ENSP00000301455	0.0006891626
9606.ENSP00000269878	0.00069262
9606.ENSP00000251595	0.0007012928
9606.ENSP00000496416	0.0007368265
9606.ENSP00000353512	0.00074757636
9606.ENSP00000353770	0.00074875954
9606.ENSP00000264399	0.0007491165
9606.ENSP00000314976	0.0007593751
9606.ENSP00000337949	0.0007595607
9606.ENSP00000308452	0.0007660957
9606.ENSP00000378485	0.00077256217
9606.ENSP00000358765	0.00078157126
9606.ENSP00000365042	0.000785398
9606.ENSP00000281441	0.00078686
9606.ENSP00000427123	0.00080139603
9606.ENSP00000259881	0.0008309392
9606.ENSP00000345868	0.0008319569
9606.ENSP00000354532	0.00083200354
9606.ENSP00000404265	0.0008325061
9606.ENSP00000498616	0.00083271845
9606.ENSP00000423917	0.0008374238
9606.ENSP00000355847	0.0008382311
9606.ENSP00000365071	0.00084231823
9606.ENSP00000393952	0.0008438048
9606.ENSP00000427555	0.00084642816
9606.ENSP00000378888	0.0008476969
9606.ENSP00000235332	0.0008489464
9606.ENSP00000370568	0.0008575924
9606.ENSP00000490802	0.00086122
9606.ENSP00000365131	0.0008645808
9606.ENSP00000338629	0.0008789653
9606.ENSP00000321370	0.000886823
9606.ENSP00000293636	0.000898
9606.ENSP00000448419	0.0008983429
9606.ENSP00000297313	0.0009135878
9606.ENSP00000366249	0.00095347804
9606.ENSP00000315379	0.00095751765
9606.ENSP00000299367	0.000975833
9606.ENSP00000384081	0.00097587175
9606.ENSP00000365076	0.0010030952
9606.ENSP00000364235	0.001015037
9606.ENSP00000364140	0.0010350224
9606.ENSP00000335062	0.0010440327
9606.ENSP00000417980	0.0010653168
9606.ENSP00000365024	0.0010691117
9606.ENSP00000386229	0.0010715877
9606.ENSP00000354280	0.0010725422
9606.ENSP00000227266	0.0010733693
9606.ENSP00000365596	0.0010993575
9606.ENSP00000217121	0.0011013173
9606.ENSP00000357753	0.0011089284
9606.ENSP00000209929	0.0011188902
9606.ENSP00000497915	0.001135048
9606.ENSP00000317027	0.0011420617
9606.ENSP00000308606	0.0011466834
9606.ENSP00000371689	0.0011547952
9606.ENSP00000386280	0.0011701579
9606.ENSP00000267460	0.0012023671
9606.ENSP00000348849	0.0012038688
9606.ENSP00000306884	0.0012065908
9606.ENSP00000244728	0.0012166954
9606.ENSP00000298119	0.0012658355
