protein	pval
9606.ENSP00000292246	1.6758713e-24
9606.ENSP00000354607	1.71916e-24
9606.ENSP00000351255	1.7217297e-24
9606.ENSP00000217402	1.7371938e-24
9606.ENSP00000315263	1.8025921e-24
9606.ENSP00000353030	1.8223843e-24
9606.ENSP00000265563	1.9102328e-24
9606.ENSP00000478061	1.9862141e-24
9606.ENSP00000308461	2.0715055e-24
9606.ENSP00000496577	2.183125e-24
9606.ENSP00000330341	2.3468188e-24
9606.ENSP00000229266	2.3518827e-24
9606.ENSP00000388566	2.5893223e-24
9606.ENSP00000264832	2.6346519e-24
9606.ENSP00000359778	2.7037178e-24
9606.ENSP00000370139	2.7817133e-24
9606.ENSP00000380427	3.2622696e-24
9606.ENSP00000317232	3.629833e-24
9606.ENSP00000322276	3.673445e-24
9606.ENSP00000384115	4.1960995e-24
9606.ENSP00000261386	4.429021e-24
9606.ENSP00000430269	4.4586115e-24
9606.ENSP00000300658	4.8530017e-24
9606.ENSP00000423897	5.3667466e-24
9606.ENSP00000259371	5.52848e-24
9606.ENSP00000361359	5.6966387e-24
9606.ENSP00000263341	6.672615e-24
9606.ENSP00000305725	8.502247e-24
9606.ENSP00000433138	9.024137e-24
9606.ENSP00000461785	9.313752e-24
9606.ENSP00000264012	9.3988075e-24
9606.ENSP00000367743	9.740657e-24
9606.ENSP00000348161	1.014783e-23
9606.ENSP00000366275	1.14414145e-23
9606.ENSP00000438406	1.1594704e-23
9606.ENSP00000357123	1.1749184e-23
9606.ENSP00000459615	1.2134077e-23
9606.ENSP00000437659	1.7039108e-23
9606.ENSP00000267953	1.760083e-23
9606.ENSP00000364150	1.7955536e-23
9606.ENSP00000369777	1.7966664e-23
9606.ENSP00000308351	1.8453869e-23
9606.ENSP00000356105	1.8734388e-23
9606.ENSP00000199936	1.8968522e-23
9606.ENSP00000458585	2.015266e-23
9606.ENSP00000262244	2.0547518e-23
9606.ENSP00000266671	2.0882653e-23
9606.ENSP00000380747	2.1699998e-23
9606.ENSP00000345395	2.1714239e-23
9606.ENSP00000420321	2.2949283e-23
9606.ENSP00000248444	2.376492e-23
9606.ENSP00000358617	2.4086252e-23
9606.ENSP00000478683	2.4935597e-23
9606.ENSP00000269159	2.6071387e-23
9606.ENSP00000363694	2.7105377e-23
9606.ENSP00000261405	2.711962e-23
9606.ENSP00000358414	2.925898e-23
9606.ENSP00000333664	3.0204922e-23
9606.ENSP00000308032	3.0297484e-23
9606.ENSP00000294904	3.1114227e-23
9606.ENSP00000500409	3.296188e-23
9606.ENSP00000266041	3.3576867e-23
9606.ENSP00000228938	3.7807576e-23
9606.ENSP00000338389	3.8079064e-23
9606.ENSP00000262958	3.907464e-23
9606.ENSP00000243501	4.075729e-23
9606.ENSP00000353408	4.1262985e-23
9606.ENSP00000448785	4.7446014e-23
9606.ENSP00000361004	4.77652e-23
9606.ENSP00000333292	5.0628594e-23
9606.ENSP00000285670	5.1706525e-23
9606.ENSP00000454545	5.271548e-23
9606.ENSP00000386284	5.4361055e-23
9606.ENSP00000366307	5.7438837e-23
9606.ENSP00000479735	5.934076e-23
9606.ENSP00000370736	6.304132e-23
9606.ENSP00000340608	6.406988e-23
9606.ENSP00000255266	6.456185e-23
9606.ENSP00000280612	6.6848685e-23
9606.ENSP00000221418	7.445724e-23
9606.ENSP00000463325	8.289863e-23
9606.ENSP00000350198	8.978929e-23
9606.ENSP00000462600	9.0329307e-23
9606.ENSP00000347224	9.1770966e-23
9606.ENSP00000370023	9.217759e-23
9606.ENSP00000374377	9.3441123e-23
9606.ENSP00000337128	9.4461764e-23
9606.ENSP00000281081	9.783252e-23
9606.ENSP00000355330	1.00591226e-22
9606.ENSP00000478255	1.01122735e-22
9606.ENSP00000428714	1.0561367e-22
9606.ENSP00000490584	1.073331e-22
9606.ENSP00000479243	1.1113613e-22
9606.ENSP00000417142	1.1333413e-22
9606.ENSP00000299340	1.1458999e-22
9606.ENSP00000328875	1.1666673e-22
9606.ENSP00000264968	1.1728867e-22
9606.ENSP00000265838	1.2175241e-22
9606.ENSP00000356331	1.225036e-22
9606.ENSP00000360124	1.2302531e-22
9606.ENSP00000260270	1.2974588e-22
9606.ENSP00000273077	1.298644e-22
9606.ENSP00000394049	1.3176532e-22
9606.ENSP00000333779	1.3328661e-22
9606.ENSP00000319814	1.4723475e-22
9606.ENSP00000419325	1.4787188e-22
9606.ENSP00000362299	1.579141e-22
9606.ENSP00000385028	1.6086599e-22
9606.ENSP00000456782	1.612013e-22
9606.ENSP00000261292	1.6516508e-22
9606.ENSP00000378177	1.6894854e-22
9606.ENSP00000381785	1.7299244e-22
9606.ENSP00000265641	1.7430455e-22
9606.ENSP00000377446	1.7461721e-22
9606.ENSP00000263245	1.7805902e-22
9606.ENSP00000365533	1.7860244e-22
9606.ENSP00000228741	1.8203294e-22
9606.ENSP00000325785	1.8361277e-22
9606.ENSP00000393511	1.931005e-22
9606.ENSP00000386380	1.9749881e-22
9606.ENSP00000299952	2.0993737e-22
9606.ENSP00000342026	2.2479133e-22
9606.ENSP00000360112	2.2833613e-22
9606.ENSP00000384126	2.3401032e-22
9606.ENSP00000443824	2.3482733e-22
9606.ENSP00000410242	2.3699694e-22
9606.ENSP00000311492	2.4625186e-22
9606.ENSP00000368994	2.4835313e-22
9606.ENSP00000387211	2.5608588e-22
9606.ENSP00000403910	2.6133796e-22
9606.ENSP00000299367	2.7152857e-22
9606.ENSP00000348753	2.7433793e-22
9606.ENSP00000481848	2.7473817e-22
9606.ENSP00000417291	2.789037e-22
9606.ENSP00000269571	2.8950948e-22
9606.ENSP00000315011	2.8988298e-22
9606.ENSP00000438248	2.904493e-22
9606.ENSP00000261799	2.9393437e-22
9606.ENSP00000342637	3.0599495e-22
9606.ENSP00000260128	3.083235e-22
9606.ENSP00000234195	3.1262505e-22
9606.ENSP00000343890	3.1736238e-22
9606.ENSP00000370074	3.2359468e-22
9606.ENSP00000385118	3.32257e-22
9606.ENSP00000342143	3.32815e-22
9606.ENSP00000309430	3.5671914e-22
9606.ENSP00000361405	3.585295e-22
9606.ENSP00000327417	3.5877323e-22
9606.ENSP00000267853	3.7616962e-22
9606.ENSP00000359233	3.7757816e-22
9606.ENSP00000497290	3.7797598e-22
9606.ENSP00000369784	3.7880384e-22
9606.ENSP00000301244	3.859621e-22
9606.ENSP00000370343	3.9481633e-22
9606.ENSP00000338728	3.9775324e-22
9606.ENSP00000480140	3.9938788e-22
9606.ENSP00000273347	3.996572e-22
9606.ENSP00000286918	4.0262337e-22
9606.ENSP00000333833	4.0286324e-22
9606.ENSP00000359483	4.294455e-22
9606.ENSP00000320924	4.598591e-22
9606.ENSP00000367151	4.6472985e-22
9606.ENSP00000422941	4.735058e-22
9606.ENSP00000243440	4.78918e-22
9606.ENSP00000367879	5.0332734e-22
9606.ENSP00000377456	5.366579e-22
9606.ENSP00000331106	5.4800367e-22
9606.ENSP00000475915	5.4972957e-22
